CustomerNameBookingIDVehicleNameVehicleModelVehicleNumberRentalDurationvehicleTypeVehicleCostPaymentModePaymentIDTransactionIDVehicleStatusAmountPaidDueAmountPaymentStatus
Pallavi,101,KTM,RC390,KA100,2,Bike,1000,UPI,pallavi@1,1000,Returned,2000,0,Success
Likitha,100,KTM,RC200,KA100,2,Bike,1000,UPI,pallavi@1,1000,Returned,2000,0,Success
Darshan,105,KTM,RC390,KA100,2,Bike,1000,Cash,NULL,0,Returned,2000,0,Success
Prathik,101,KTM,RC200,KA101,2,Bike,1001,Cash,NULL,0,Booked,1001,1001,Pending
Dharshini,109,Mahindra,XUV300,KA200,2,Car,5000,UPI,dharshu@21,1000,Returned,10000,0,Success
Likitha,110,Mahindra,XUV300,KA200,2,Car,5000,Cash,NULL,0,Returned,10000,0,Success
Dheemanth,120,Toyota,Corolla,KA108,2,Car,80000,Cash,NULL,0,Booked,10000,150000,Pending
Varshini,105,Toyota,Corolla,KA108,2,Car,80000,Cash,NULL,0,Returned,160000,0,Success
Prathik,120,Toyota,Fortuner,KA107,2,Car,70000,Cash,NULL,0,Returned,140000,0,Success
Darshan,120,Toyota,Fortuner,KA107,2,Car,70000,Cash,NULL,0,Returned,140000,0,Success
Pallavi,125,Toyota,Fortuner,KA107,2,Car,70000,Cash,NULL,0,Returned,140000,0,Success
